Geo,Percentage
Czechia,91.6756443192177
Slovakia,7.342338609430679
Germany,0.2133918952515124
Cyprus,0.12844949034557057
United Kingdom,0.11394712853236097
Estonia,0.10773183061241402
unknown,0.07458357503936355
Sweden,0.049722383359575704
Poland,0.043507085439628744
Austria,0.026932957653103506
Chile,0.020717659733156542
Switzerland,0.014502361813209578
Netherlands,0.014502361813209578
Canada,0.012430595839893926
United States,0.012430595839893926
Spain,0.012430595839893926
Turkey,0.012430595839893926
Japan,0.010358829866578271
Ukraine,0.008287063893262616
Norway,0.006215297919946963
Denmark,0.006215297919946963
Belgium,0.004143531946631308
Finland,0.004143531946631308
France,0.004143531946631308
Brazil,0.004143531946631308
India,0.004143531946631308
Italy,0.004143531946631308
Romania,0.004143531946631308
Portugal,0.002071765973315654
Croatia,0.002071765973315654
New Zealand,0.002071765973315654
Hungary,0.002071765973315654
Egypt,0.002071765973315654
Israel,0.002071765973315654
South Africa,0.002071765973315654
Peru,0.002071765973315654
Vietnam,0.002071765973315654
Nigeria,0.002071765973315654
